title, gender, creator, genre, firstAppearance, species, birthDate, birthYear, deathDate, deathYear, deathCause, ethnicity, religion, nationality, country, region
Antandre, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthas, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthedon (mythology), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthelea, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthem (comics), NA, Matt Fraction and Barry Kitson, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthony (comics), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthony Corleone, NA, Mario Puzo, NA, The Godfather, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthony DiNozzo, NA, NA, NA, Ice Queen (JAG), NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthony Gethryn, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthony Lupus, NA, "Dennis ONeil" and Len Wein, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthony Moon, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthony Soprano, Jr., NA, David Chase, NA, Pilot (episode 1.01), NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthony Stracci, NA, Mario Puzo, NA, The Godfather, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthony Trueman, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthousai, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthro (comics), NA, Howard Post, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anthus (mythology), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anti-Monitor, NA, Jerry Ordway and George Pérez and Marv Wolfman, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Antigoni Douka, NA, NA, NA, Episode 1 and September 8 2005, NA, NA, NA, NA, NA, NA, NA, NA, NA
Antimony Carver, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Antinous son of Eupeithes, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Antiochus (mythology), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Antiope (comics), NA, George Pérez, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Antiphates, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Antoine Malick, NA, NA, NA, Running the Gauntlet and 4 January 2011, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anton Arcane, NA, Bernie Wrightson and Len Wein, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anton Chigurh, NA, Cormac McCarthy, NA, No Country For Old Men, NA, NA, NA, NA, NA, NA, NA, NA, NA
Anton Meyer, NA, Mal Young and Tony McHale, NA, Whose Heart Is It Anyway? and 12 January 1999, NA, NA, NA, NA, NA, NA, NA, NA, NA
Antonio Dawson, NA, Matt Olmstead, NA, (episode 1.01) and (episode 1.03) and CPD: Stepping Stone and CF: Professional Courtesy, NA, NA, NA, NA, NA, NA, NA, NA, NA
Antonio Lopez-Fitzgerald, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Albert (comics), NA, Marc Silvestri and Larry Hama, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Albert Campion, NA, Margery Allingham, NA, The Crime at Black Dudley, NA, NA, NA, NA, NA, NA, NA, NA, NA
Albert Dingle, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Albert Rothstein, NA, Jerry Ordway and Roy Thomas, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Albert Tatlock, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Albert Volpe, NA, Mario Puzo, NA, The Godfather Part III, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alberto Falcone, NA, Tim Sale (artist) and Jeph Loeb, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Albino (comics), NA, Tom DeFalco and Jeff Johnson (artist), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Albus Dumbledore, NA, J. K. Rowling, NA, Harry Potter and the Philosopher's Stone, Magician (fantasy), NA, NA, NA, NA, NA, NA, NA, NA
Alby Grant, NA, NA, NA, Pilot, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alcaeus (mythology), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alchemy (comics), NA, Paul_Betsow, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alcibie, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alcidice, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alcimache, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alcimus (mythology), NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alcinoe, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Aldo Trapani, Sex, NA, NA, The Godfather: The Game, NA, NA, NA, NA, NA, NA, NA, NA, NA
Aldrich Killian, NA, Warren Ellis and Adi Granov, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Alec Gilroy, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
