Title,Number_of_characters,Description,Gender,doNotUse,birthYear,deathDate,deathYear,ethnicity,nationality,country,region,religion,activeYearsStartYear,genre,notableWork,almaMater
Mike Vosburg,3,American comics artist,NA,NA,1947,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Mitch Brian,1,American screenwriter,NA,1961-10-15,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell Burgess,2,American writer and producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Sopranos and Blue Bloods (TV series),NA
Miyuki Okumura,1,Cinnamoroll designer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morris (cartoonist),1,cartoonist,NA,1923-12-01,1923,2001-07-16,2001,NA,Belgium,NA,NA,NA,NA,NA,NA,NA
Mukul S. Anand,1,Indian director and producer,NA,1951-10-11,1951,1997-09-07,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nat Gertler,1,Writer,NA,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,NA
Nathan Edmondson,1,Comic book writer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nathan Greno,3,American film director and animator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Columbus College of Art and Design
Neil Cross,1,New Zealand writer,NA,1969-02-09 and 1969-09-02,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctor Who and Spooks and Luther (TV series),NA
Nestor Redondo,4,Comic artist,NA,1928-05-04,1928,1995-12-30,1995,NA,Filipinos,NA,NA,NA,NA,NA,NA,NA
Nic Pizzolatto,1,American writer,NA,1975-10-18,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,True Detective (TV series),Louisiana State University and University of Arkansas
Nicholas Stoller,1,British screenwriter,NA,1976-03-19,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nikolay Chernyshevsky,1,Russian critic philosopher writer and magazine editor,NA,1828-07-12,1828,1889-10-17,1889,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norm Rapmund,1,Comic inker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Đorđe Lobačev,1,Russian and Yugoslav comic strip author,NA,1909-03-04,1909,2002-07-23,2002,NA,Russians,NA,NA,NA,NA,NA,NA,NA
Oliver Goldstick,1,American television producer and screenwriter,NA,1961-01-09,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
