Title, Number_of_characters, Description, Gender, doNotUse, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
David Croft (TV producer), 1, NA, NA, 1922-09-07, 1922, 2011-09-27, 2011, NA, NA, NA, NA, NA, 1939, NA, NA, NA
David Davis (TV producer), 1, Television producer television writer, NA, NA, 1937, NA, NA, NA, NA, NA, NA, NA, 1962, NA, NA, NA
David E. Kelley, 1, NA, NA, 1956-04-04, 1956, NA, NA, NA, NA, NA, NA, NA, 1986, NA, NA, NA
David Finch (comics), 4, NA, NA, NA, NA, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
David Hine, 5, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Hoberman, 1, Film and television producer, NA, 1952-09-19, 1952, NA, NA, NA, NA, NA, NA, NA, 1977, NA, NA, NA
David Horvath, 1, Artist, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Kohan, 1, NA, NA, 1964-04-16, 1964, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Wesleyan University
David Lapham, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Lloyd (comics), 4, NA, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
David Lynch, 3, NA, NA, 1946-01-20, 1946, NA, NA, NA, NA, NA, NA, NA, 1966, NA, NA, AFI Conservatory
David López (artist), 1, Artist, NA, NA, 1975, NA, NA, NA, Spain, NA, NA, NA, NA, NA, NA, NA
David Mamet, 1, NA, NA, 1947-11-30, 1947, NA, NA, NA, NA, NA, NA, NA, NA, NA, Glengarry Glen Ross and Hannibal (film) and Sexual Perversity in Chicago and American Buffalo (play) and Homicide (1991 film) and Oleanna (play) and House of Games and The Untouchables (film) and The Unit and The Postman Always Rings Twice (1981 film) and The Duck Variations, Goddard College
David Mazzucchelli, 8, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Michelinie, 33, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Morrell, 2, Canadian writer, NA, 1943-04-24, 1943, NA, NA, NA, NA, NA, NA, NA, NA, NA, First Blood (novel), St. Jeromes University and Pennsylvania State University
David Nakayama, 2, Artist, NA, 1978-08-15, 1978, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
David Quinn (writer), 1, american comics writer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David S. Goyer, 7, NA, NA, 1965-12-22, 1965, NA, NA, NA, NA, NA, NA, NA, NA, Screenwriter, NA, NA
David Shore, 4, NA, NA, 1959-07-03, 1959, NA, NA, NA, NA, NA, NA, NA, NA, NA, House (TV series), NA
David Shrigley, 1, NA, NA, 1968-09-17, 1968, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
David Simon, 55, NA, NA, 1960-02-09, 1960, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Slack, 1, American screenwriter, NA, NA, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
David Vern Reed, 1, Comics Writer, NA, NA, 1924, NA, 1989, NA, NA, NA, NA, NA, NA, NA, NA, NA
